id_equipo,nombre_equipo,nombre_liga,nivel_liga,nombre_nacionalidad,valoracion_general,ataque,mediocampo,defensa,estadio_local,prestigio_internacional,prestigio_domestico,presupuesto_fichajes_eur,valor_club_eur,edad_promedio_titulares,edad_promedio_equipo,capitan,tiro_libre_corto,tiro_libre_largo,tiro_libre_corto_izquierda,tiro_libre_corto_derecha,penales,corner_izquierdo,corner_derecho,estilo_defensivo,ancho_equipo_defensivo,profundidad_equipo_defensivo,presion_defensiva,agresividad_defensiva,ancho_defensivo,linea_defensiva,estilo_ofensivo,construccion_juego,creacion_oportunidades,ancho_equipo_ofensivo,jugadores_en_el_area,tactica_corners,tactica_tiros_libres,velocidad_construccion,regate_construccion,pase_construccion,posicionamiento_construccion,pase_creacion_oportunidades,centros_creacion_oportunidades,remates_creacion_oportunidades,posicionamiento_creacion_oportunidades
1335,France,Friendly International,,France,83,84,83,83,Orange Vélodrome,10,,,,26.18,25.61,201535.0,194765.0,194765.0,194765.0,194765.0,231747.0,194765.0,194765.0,Pressure On Heavy Touch,71.0,61.0,,,,,,Balanced,Balanced,71.0,5.0,3.0,3.0,,,,,,,,
1343,Italy,Friendly International,,Italy,83,83,84,82,Stadion Olympik,9,,,,27.91,27.57,184344.0,205498.0,205498.0,205498.0,205498.0,205498.0,199556.0,205498.0,Pressure On Heavy Touch,51.0,51.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
1354,Portugal,Friendly International,,Portugal,83,85,82,84,Waldstadion (Fussballstadion),8,,,,29.36,26.96,20801.0,20801.0,20801.0,20801.0,20801.0,20801.0,212198.0,218667.0,Balanced,41.0,51.0,,,,,,Balanced,Balanced,41.0,3.0,3.0,3.0,,,,,,,,
1362,Spain,Friendly International,,Spain,83,82,83,82,Wanda Metropolitano,9,,,,24.36,25.35,189332.0,241461.0,241461.0,241461.0,241461.0,241461.0,244260.0,220834.0,Pressure On Heavy Touch,61.0,71.0,,,,,,Slow Build Up,Possession,71.0,7.0,3.0,3.0,,,,,,,,
1369,Argentina,Friendly International,,Argentina,83,84,82,82,La Bombonera,9,,,,28.09,27.74,158023.0,158023.0,158023.0,158023.0,158023.0,158023.0,158023.0,158023.0,Balanced,41.0,51.0,,,,,,Slow Build Up,Possession,41.0,6.0,3.0,3.0,,,,,,,,
11,Manchester United,Premier League,1.0,England,82,81,83,81,Old Trafford,8,8.0,,-2147483648.0,26.55,24.48,212198.0,190460.0,190460.0,190460.0,190460.0,212198.0,190460.0,205988.0,Pressure On Heavy Touch,41.0,51.0,,,,,,Slow Build Up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
45,Juventus,Serie A,1.0,Italy,82,83,80,81,Juventus Arena,9,10.0,,-2147483648.0,27.91,25.65,184344.0,246430.0,193082.0,246430.0,246430.0,246430.0,193082.0,193082.0,Pressure On Heavy Touch,51.0,41.0,,,,,,Long Ball,Direct Passing,61.0,3.0,3.0,3.0,,,,,,,,
240,Atlético Madrid,La Liga,1.0,Spain,82,83,83,81,Wanda Metropolitano,9,9.0,,1200000000.0,28.36,25.0,193747.0,208418.0,208418.0,208418.0,208418.0,208418.0,208418.0,208418.0,Pressure On Heavy Touch,61.0,61.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
1325,Belgium,Friendly International,,Belgium,82,86,80,79,O Dromo,8,,,,29.36,28.65,183277.0,192985.0,192985.0,192985.0,192985.0,192505.0,192985.0,192985.0,Pressure On Heavy Touch,61.0,71.0,,,,,,Slow Build Up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
105035,Netherlands,Friendly International,,Netherlands,82,83,82,82,Johan Cruijff ArenA,8,,,,26.82,27.17,203376.0,202556.0,202556.0,202556.0,202556.0,202556.0,202556.0,202556.0,Balanced,51.0,61.0,,,,,,Fast Build Up,Forward Runs,61.0,4.0,3.0,3.0,,,,,,,,
18,Tottenham Hotspur,Premier League,1.0,England,81,83,81,79,Tottenham Hotspur Stadium,7,8.0,,-2147483648.0,27.45,24.97,167948.0,200104.0,200104.0,200104.0,200104.0,202126.0,200104.0,181458.0,Balanced,61.0,41.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
22,Borussia Dortmund,Bundesliga,1.0,Germany,81,78,81,81,Signal Iduna Park,7,9.0,,1700000000.0,24.73,24.09,188350.0,188350.0,209889.0,188350.0,209889.0,188350.0,209889.0,209889.0,Press After Possession Loss,51.0,81.0,,,,,,Fast Build Up,Forward Runs,41.0,6.0,3.0,3.0,,,,,,,,
47,Milan,Serie A,1.0,Italy,81,80,81,80,San Siro,7,9.0,,1100000000.0,25.91,25.87,232656.0,241096.0,241096.0,241096.0,241096.0,232656.0,241096.0,241096.0,Pressure On Heavy Touch,51.0,61.0,,,,,,Fast Build Up,Forward Runs,51.0,8.0,3.0,3.0,,,,,,,,
481,Sevilla,La Liga,1.0,Spain,81,79,82,80,Ramón Sánchez-Pizjuán,8,8.0,,540000000.0,28.91,26.6,168651.0,224309.0,224309.0,224309.0,224309.0,231628.0,224309.0,224309.0,Pressure On Heavy Touch,71.0,71.0,,,,,,Slow Build Up,Possession,81.0,8.0,3.0,3.0,,,,,,,,
112172,RB Leipzig,Bundesliga,1.0,Germany,81,83,81,80,Red Bull Arena (Leipzig),7,8.0,,491200000.0,25.64,25.36,204638.0,232411.0,232411.0,232411.0,232411.0,232411.0,236703.0,236703.0,Press After Possession Loss,51.0,71.0,,,,,,Balanced,Balanced,51.0,4.0,3.0,3.0,,,,,,,,
1,Arsenal,Premier League,1.0,England,80,82,82,79,Emirates Stadium,7,7.0,,2000000000.0,24.09,22.97,222665.0,222665.0,222665.0,222665.0,222665.0,246669.0,251566.0,246669.0,Balanced,51.0,61.0,,,,,,Slow Build Up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
32,Bayer 04 Leverkusen,Bundesliga,1.0,Germany,80,81,79,79,BayArena,6,8.0,,445800000.0,24.36,24.0,190941.0,211748.0,211748.0,211748.0,211748.0,241852.0,211748.0,211748.0,Press After Possession Loss,51.0,71.0,,,,,,Balanced,Balanced,71.0,4.0,3.0,3.0,,,,,,,,
48,Napoli,Serie A,1.0,Italy,80,80,81,80,Stadion Olympik,7,9.0,,590000000.0,26.18,25.73,217870.0,204614.0,204614.0,204614.0,204614.0,232293.0,210406.0,210406.0,Balanced,61.0,61.0,,,,,,Fast Build Up,Forward Runs,61.0,6.0,3.0,3.0,,,,,,,,
52,Roma,Serie A,1.0,Italy,80,82,79,81,Stadion Olympik,7,8.0,,602000000.0,26.09,24.81,228251.0,228251.0,228251.0,228251.0,228251.0,228251.0,228251.0,228251.0,Balanced,61.0,41.0,,,,,,Slow Build Up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
483,Villarreal,La Liga,1.0,Spain,80,82,80,79,Estadio de la Cerámica,7,8.0,,370000000.0,30.82,27.46,157481.0,189513.0,189513.0,189513.0,189513.0,208093.0,189513.0,189513.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
1328,Croatia,Friendly International,,Croatia,80,79,83,78,Stadion Hanguk,6,,,,28.45,27.43,177003.0,177003.0,177003.0,177003.0,177003.0,216354.0,177003.0,177003.0,Balanced,61.0,71.0,,,,,,Slow Build Up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
1370,Brazil,Friendly International,,Brazil,80,81,80,80,O Dromo,10,,,,26.36,26.17,230256.0,230481.0,230271.0,230271.0,230481.0,230430.0,230347.0,230347.0,Balanced,61.0,61.0,,,,,,Slow Build Up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
2,Aston Villa,Premier League,1.0,England,79,78,78,80,Villa Park,3,5.0,,715400000.0,25.55,24.88,202811.0,200458.0,236499.0,236499.0,200458.0,221697.0,236499.0,236499.0,Pressure On Heavy Touch,51.0,51.0,,,,,,Fast Build Up,Forward Runs,51.0,4.0,3.0,3.0,,,,,,,,
13,Newcastle United,Premier League,1.0,England,79,79,78,79,St. James' Park,3,5.0,,455000000.0,26.91,26.45,186345.0,186345.0,186345.0,186345.0,186345.0,196978.0,186345.0,186345.0,Pressure On Heavy Touch,51.0,61.0,,,,,,Balanced,Balanced,51.0,4.0,3.0,3.0,,,,,,,,
19,West Ham United,Premier League,1.0,England,79,79,80,78,London Stadium,5,6.0,,858500000.0,27.27,25.58,234378.0,189615.0,234378.0,234378.0,189615.0,234378.0,189615.0,224371.0,Balanced,41.0,41.0,,,,,,Fast Build Up,Forward Runs,61.0,4.0,3.0,3.0,,,,,,,,
39,Atalanta,Serie A,1.0,Italy,79,81,79,77,Stadio Classico,6,7.0,,350000000.0,26.64,25.84,187598.0,199110.0,240679.0,199110.0,199110.0,199110.0,240679.0,240679.0,Press After Possession Loss,41.0,71.0,,,,,,Fast Build Up,Forward Runs,61.0,5.0,3.0,3.0,,,,,,,,
46,Lazio,Serie A,1.0,Italy,79,80,79,78,Stadion Olympik,6,7.0,,328000000.0,27.91,26.71,192387.0,223848.0,223848.0,223848.0,223848.0,192387.0,198706.0,198706.0,Press After Possession Loss,61.0,61.0,,,,,,Slow Build Up,Possession,71.0,3.0,3.0,3.0,,,,,,,,
95,Leicester City,Premier League,1.0,England,79,80,80,78,King Power Stadium,6,6.0,,882300000.0,26.45,25.42,169588.0,220697.0,220697.0,220697.0,220697.0,216393.0,220697.0,220697.0,Balanced,41.0,51.0,,,,,,Slow Build Up,Possession,51.0,4.0,3.0,3.0,,,,,,,,
234,Benfica,Liga Portugal,1.0,Portugal,79,80,79,78,Estádio da Luz,6,10.0,,320000000.0,25.18,24.69,192366.0,210035.0,210035.0,210035.0,210035.0,212814.0,212814.0,236632.0,Press After Possession Loss,51.0,71.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
448,Athletic Club,La Liga,1.0,Spain,79,80,78,79,Estadio San Mamés,5,7.0,,250000000.0,27.09,25.93,189575.0,189575.0,189575.0,189575.0,189575.0,216201.0,189575.0,189575.0,Balanced,51.0,51.0,,,,,,Fast Build Up,Forward Runs,71.0,5.0,3.0,3.0,,,,,,,,
449,Real Betis,La Liga,1.0,Spain,79,80,81,78,Estadio Benito Villamarín,3,6.0,,175000000.0,28.73,26.73,190286.0,216594.0,190286.0,216594.0,216594.0,224179.0,216594.0,190286.0,Press After Possession Loss,61.0,71.0,,,,,,Slow Build Up,Possession,61.0,7.0,3.0,3.0,,,,,,,,
1331,Denmark,Friendly International,,Denmark,79,76,82,78,Eastpoint Arena (Football Ground),6,,,,27.73,27.3,179645.0,190460.0,190460.0,190460.0,190460.0,190460.0,190460.0,190460.0,Balanced,51.0,61.0,,,,,,Slow Build Up,Possession,51.0,5.0,3.0,3.0,,,,,,,,
23,Borussia Mönchengladbach,Bundesliga,1.0,Germany,78,79,78,76,BORUSSIA-PARK,5,5.0,,333900000.0,26.73,24.27,187072.0,187072.0,210324.0,210324.0,187072.0,224196.0,210324.0,210324.0,Balanced,61.0,61.0,,,,,,Slow Build Up,Possession,61.0,7.0,3.0,3.0,,,,,,,,
66,Olympique Lyonnais,Ligue 1,1.0,France,78,78,76,77,Groupama Stadium,6,8.0,,300000000.0,25.73,24.22,193301.0,193301.0,213874.0,193301.0,193301.0,193301.0,247641.0,247641.0,Pressure On Heavy Touch,51.0,51.0,,,,,,Slow Build Up,Possession,51.0,6.0,3.0,3.0,,,,,,,,
110,Wolverhampton Wanderers,Premier League,1.0,England,78,78,79,74,Molineux Stadium,4,5.0,,416500000.0,26.36,23.48,224293.0,162347.0,162347.0,162347.0,162347.0,224293.0,162347.0,162347.0,Balanced,61.0,51.0,,,,,,Fast Build Up,Forward Runs,61.0,3.0,3.0,3.0,,,,,,,,
219,Olympique Marseille,Ligue 1,1.0,France,78,79,78,76,Orange Vélodrome,6,8.0,,250000000.0,27.55,23.36,223874.0,177388.0,239093.0,177388.0,177388.0,184941.0,177388.0,239093.0,Pressure On Heavy Touch,61.0,51.0,,,,,,Fast Build Up,Forward Runs,61.0,4.0,3.0,3.0,,,,,,,,
236,Porto,Liga Portugal,1.0,Portugal,78,80,78,76,Estádio do Dragão,7,10.0,,240000000.0,26.27,25.5,120533.0,210411.0,210411.0,210411.0,210411.0,241788.0,210411.0,210411.0,Press After Possession Loss,51.0,61.0,,,,,,Balanced,Balanced,61.0,6.0,3.0,3.0,,,,,,,,
237,Sporting CP,Liga Portugal,1.0,Portugal,78,78,78,79,Waldstadion (Fussballstadion),4,9.0,,220000000.0,25.36,23.43,197655.0,240950.0,240950.0,240950.0,240950.0,240950.0,243576.0,240950.0,Pressure On Heavy Touch,51.0,61.0,,,,,,Long Ball,Direct Passing,61.0,5.0,3.0,3.0,,,,,,,,
245,Ajax,Eredivisie,1.0,Netherlands,78,80,78,76,Johan Cruijff ArenA,7,10.0,,482000000.0,25.0,23.23,199434.0,199434.0,199434.0,199434.0,199434.0,199434.0,225953.0,199434.0,Balanced,61.0,81.0,,,,,,Slow Build Up,Possession,71.0,8.0,3.0,3.0,,,,,,,,
457,Real Sociedad,La Liga,1.0,Spain,78,77,80,78,Reale Arena,4,7.0,,150000000.0,26.18,23.82,225193.0,168542.0,225193.0,168542.0,168542.0,225193.0,168542.0,168542.0,Balanced,41.0,51.0,,,,,,Slow Build Up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
1353,Poland,Friendly International,,Poland,78,80,76,74,Waldstadion (Fussballstadion),5,,,,27.18,27.48,188545.0,188545.0,210406.0,188545.0,188545.0,188545.0,210406.0,210406.0,Balanced,51.0,41.0,,,,,,Long Ball,Direct Passing,61.0,4.0,3.0,3.0,,,,,,,,
1824,Eintracht Frankfurt,Bundesliga,1.0,Germany,78,78,79,76,Deutsche Bank Park,6,6.0,,269800000.0,24.45,23.67,188943.0,192318.0,243237.0,192318.0,243237.0,232730.0,192318.0,243237.0,Press After Possession Loss,61.0,51.0,,,,,,Fast Build Up,Forward Runs,61.0,5.0,3.0,3.0,,,,,,,,
7,Everton,Premier League,1.0,England,77,77,77,76,Goodison Park,4,4.0,,896600000.0,25.36,26.16,204935.0,242964.0,242964.0,242964.0,242964.0,221479.0,242964.0,242964.0,Balanced,51.0,51.0,,,,,,Fast Build Up,Forward Runs,61.0,3.0,3.0,3.0,,,,,,,,
69,Monaco,Ligue 1,1.0,Monaco,77,81,77,77,Euro Arena,6,8.0,,215000000.0,24.73,23.44,199451.0,199451.0,225663.0,199451.0,225663.0,199451.0,225663.0,232440.0,Pressure On Heavy Touch,51.0,51.0,,,,,,Slow Build Up,Possession,51.0,4.0,3.0,3.0,,,,,,,,
72,Nice,Ligue 1,1.0,France,77,80,76,76,Waldstadion (Fussballstadion),3,6.0,,130000000.0,27.09,24.74,158625.0,193983.0,158625.0,193983.0,193983.0,193983.0,244892.0,244892.0,Press After Possession Loss,61.0,61.0,,,,,,Slow Build Up,Possession,71.0,7.0,3.0,3.0,,,,,,,,
74,Rennes,Ligue 1,1.0,France,77,77,77,76,Stade Municipal,5,7.0,,110000000.0,24.91,23.7,219789.0,214097.0,214097.0,214097.0,214097.0,240753.0,214097.0,214097.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
450,Celta de Vigo,La Liga,1.0,Spain,77,77,77,77,Estadio Abanca-Balaídos,4,6.0,,110000000.0,27.27,24.15,194229.0,192629.0,192629.0,192629.0,192629.0,192629.0,239335.0,239335.0,Pressure On Heavy Touch,71.0,61.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
1322,Austria,Friendly International,,Austria,77,79,75,79,O Dromo,4,,,,25.82,25.61,197445.0,197445.0,197445.0,197445.0,197445.0,184200.0,197445.0,197445.0,Press After Possession Loss,51.0,71.0,,,,,,Balanced,Balanced,51.0,4.0,3.0,3.0,,,,,,,,
1330,Czech Republic,Friendly International,,Czech Republic,77,79,76,73,Stadion Neder,5,,,,26.36,26.52,236792.0,236791.0,251221.0,236791.0,236791.0,236791.0,251221.0,251221.0,Pressure On Heavy Touch,51.0,61.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
1386,Mexico,Friendly International,,Mexico,77,79,77,76,Stadion Olympik,7,,,,28.0,28.52,140233.0,221992.0,156519.0,221992.0,221992.0,204838.0,233260.0,235389.0,Pressure On Heavy Touch,61.0,61.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
1860,Getafe,La Liga,1.0,Spain,77,76,78,76,Coliseum Alfonso Pérez,4,5.0,,45000000.0,27.91,26.0,217940.0,232665.0,232665.0,232665.0,232665.0,223197.0,232665.0,232665.0,Pressure On Heavy Touch,41.0,71.0,,,,,,Fast Build Up,Forward Runs,71.0,3.0,3.0,3.0,,,,,,,,
110374,Fiorentina,Serie A,1.0,Italy,77,77,78,78,Stadio Classico,5,6.0,,222000000.0,26.36,25.41,201389.0,189125.0,201389.0,189125.0,189125.0,246186.0,201389.0,189125.0,Balanced,41.0,51.0,,,,,,Fast Build Up,Forward Runs,61.0,7.0,3.0,3.0,,,,,,,,
111111,Morocco,Friendly International,,Morocco,77,78,74,77,Stadion 23. Maj,3,,,,26.36,26.52,208295.0,235212.0,235212.0,235212.0,235212.0,229010.0,235212.0,235212.0,Pressure On Heavy Touch,61.0,71.0,,,,,,Fast Build Up,Forward Runs,61.0,4.0,3.0,3.0,,,,,,,,
8,Leeds United,Premier League,1.0,England,76,78,76,75,Elland Road,2,3.0,,763100000.0,24.36,24.07,189456.0,232080.0,232080.0,232080.0,232080.0,232080.0,232080.0,232080.0,Press After Possession Loss,41.0,61.0,,,,,,Fast Build Up,Forward Runs,41.0,5.0,3.0,3.0,,,,,,,,
14,Nottingham Forest,Premier League,1.0,England,76,76,76,75,Ivy Lane,1,1.0,,90000000.0,26.27,25.85,235642.0,236015.0,236015.0,236015.0,236015.0,251421.0,236015.0,236015.0,Balanced,61.0,41.0,,,,,,Fast Build Up,Forward Runs,71.0,4.0,3.0,3.0,,,,,,,,
25,SC Freiburg,Bundesliga,1.0,Germany,76,75,76,78,447,3,4.0,,266700000.0,27.64,25.22,209846.0,212096.0,212096.0,212096.0,212096.0,212096.0,212096.0,209846.0,Balanced,41.0,51.0,,,,,,Slow Build Up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
144,Fulham,Premier League,1.0,England,76,77,76,75,Craven Cottage,1,2.0,,155000000.0,27.45,25.35,198261.0,208450.0,208450.0,222104.0,208450.0,215716.0,208450.0,208450.0,Pressure On Heavy Touch,51.0,61.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
175,VfL Wolfsburg,Bundesliga,1.0,Germany,76,76,77,76,Volkswagen Arena,5,6.0,,349100000.0,24.36,23.76,206511.0,206511.0,206511.0,252495.0,206511.0,230084.0,228946.0,228946.0,Press After Possession Loss,71.0,51.0,,,,,,Slow Build Up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
247,PSV,Eredivisie,1.0,Netherlands,76,77,76,76,463,5,9.0,,285300000.0,25.45,23.57,189805.0,212187.0,212187.0,216433.0,212187.0,189805.0,216433.0,212187.0,Pressure On Heavy Touch,51.0,71.0,,,,,,Balanced,Balanced,51.0,8.0,3.0,3.0,,,,,,,,
325,Galatasaray,Super Lig,1.0,Turkey,76,79,76,74,Sanderson Park (FIFA 13 NEW generic),7,10.0,,40000000.0,27.91,25.21,182494.0,198031.0,198031.0,198031.0,198031.0,201399.0,198031.0,198031.0,Pressure On Heavy Touch,51.0,61.0,,,,,,Fast Build Up,Forward Runs,61.0,6.0,3.0,3.0,,,,,,,,
326,Fenerbahçe,Super Lig,1.0,Turkey,76,76,76,74,Waldstadion (Fussballstadion),6,9.0,,42000000.0,26.27,25.85,243647.0,225403.0,262411.0,233585.0,225403.0,220295.0,233585.0,225403.0,Press After Possession Loss,61.0,71.0,,,,,,Long Ball,Direct Passing,51.0,4.0,3.0,3.0,,,,,,,,
383,Palmeiras,Serie A,1.0,Brazil,76,78,77,74,Estadio de las Artes (Generic Stadium NG),6,8.0,,111000000.0,28.91,28.6,230241.0,230241.0,230241.0,230241.0,230481.0,230440.0,230481.0,230269.0,Pressure On Heavy Touch,41.0,71.0,,,,,,Balanced,Balanced,61.0,6.0,3.0,3.0,,,,,,,,
436,Trabzonspor,Super Lig,1.0,Turkey,76,75,76,75,Sanderson Park (FIFA 13 NEW generic),5,6.0,,38000000.0,26.91,25.8,226300.0,208250.0,237239.0,237239.0,208250.0,208250.0,237239.0,208250.0,Balanced,61.0,51.0,,,,,,Slow Build Up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
452,Espanyol,La Liga,1.0,Spain,76,80,77,75,RCDE Stadium,3,5.0,,60000000.0,27.45,24.0,192816.0,228326.0,202648.0,202648.0,228326.0,173608.0,202648.0,202648.0,Press After Possession Loss,61.0,51.0,,,,,,Fast Build Up,Forward Runs,61.0,4.0,3.0,3.0,,,,,,,,
461,Valencia,La Liga,1.0,Spain,76,78,74,77,Estadio Mestalla,6,7.0,,530000000.0,24.0,23.36,211688.0,210617.0,210617.0,210617.0,210617.0,179813.0,210617.0,210617.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
479,Osasuna,La Liga,1.0,Spain,76,75,77,75,437,1,5.0,,15000000.0,28.09,25.47,225341.0,211022.0,211022.0,211022.0,211022.0,228520.0,211022.0,211022.0,Balanced,71.0,71.0,,,,,,Fast Build Up,Forward Runs,61.0,3.0,3.0,3.0,,,,,,,,
480,Rayo Vallecano,La Liga,1.0,Spain,76,76,75,75,Estadio de Vallecas,1,3.0,,10000000.0,29.0,26.71,173030.0,173030.0,173030.0,173030.0,173030.0,167397.0,173030.0,173030.0,Balanced,61.0,71.0,,,,,,Slow Build Up,Possession,61.0,7.0,3.0,3.0,,,,,,,,
1043,Flamengo,Serie A,1.0,Brazil,76,77,75,75,O Dromo,7,10.0,,364600000.0,27.45,28.0,230336.0,230406.0,230336.0,230406.0,230406.0,230430.0,230460.0,230406.0,Pressure On Heavy Touch,61.0,61.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
1352,Norway,Friendly International,,Norway,76,82,76,74,Eastpoint Arena (Football Ground),5,,,,24.82,25.22,222665.0,222665.0,222665.0,222665.0,222665.0,239085.0,222665.0,222665.0,Pressure On Heavy Touch,61.0,61.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
1359,Scotland,Friendly International,,Scotland,76,73,75,77,Stadion Olympik,4,,,,26.82,26.22,216267.0,211093.0,211093.0,211093.0,211093.0,226093.0,210881.0,210881.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
1363,Sweden,Friendly International,,Sweden,76,79,75,75,Waldstadion (Fussballstadion),5,,,,27.27,27.96,221660.0,208448.0,208448.0,208448.0,208448.0,208448.0,208448.0,208448.0,Balanced,41.0,51.0,,,,,,Fast Build Up,Forward Runs,51.0,4.0,3.0,3.0,,,,,,,,
1799,Crystal Palace,Premier League,1.0,England,76,77,76,76,Selhurst Park,2,4.0,,410500000.0,26.73,25.22,241159.0,235794.0,235794.0,235794.0,235794.0,198717.0,235794.0,235794.0,Balanced,51.0,41.0,,,,,,Balanced,Balanced,71.0,4.0,3.0,3.0,,,,,,,,
1808,Brighton & Hove Albion,Premier League,1.0,England,76,75,76,77,The Amex Stadium,2,3.0,,355000000.0,27.09,23.16,199915.0,206594.0,190765.0,190765.0,206594.0,239837.0,190765.0,190765.0,Press After Possession Loss,61.0,61.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
